bbl,unit_key,sale_day,legacy_k,all_sales_k,expanded_m,extra_competitors,base_candidate_filings,base_filing_competing_sales,base_unique_candidate_document_id,legacy_expanded,expanded_all_competitors,unique_strict,unique_base,unique_wide,stratum,stratum_population,selection_probability,inverse_probability_weight,instrument_unit_match,borrower_purchase_match,evidence_url,reviewer
1011830050,1011830050|A-5B,2020-05-27,2,2,1,0,1,1.0,2020052600818001,-1,-1,1,1,1,timing_unique,9750,0.003076923076923077,325.0,UNREVIEWED,UNREVIEWED,,
3024170034,3024170034|2C,2020-04-28,1,1,1,0,1,1.0,2020041400461001,1,1,1,1,1,timing_unique,9750,0.003076923076923077,325.0,UNREVIEWED,UNREVIEWED,,
3010580024,3010580024|3R,2017-06-22,1,1,1,0,1,1.0,2017060801156001,1,1,1,1,-1,timing_unique,9750,0.003076923076923077,325.0,UNREVIEWED,UNREVIEWED,,
1010380006,1010380006|2R,2020-07-23,1,1,1,0,1,1.0,2020072201075001,1,1,1,1,1,timing_unique,9750,0.003076923076923077,325.0,UNREVIEWED,UNREVIEWED,,
3002530076,3002530076|1,2022-01-28,1,1,1,0,1,1.0,2022012800624001,1,1,1,1,1,timing_unique,9750,0.003076923076923077,325.0,UNREVIEWED,UNREVIEWED,,
1021770166,1021770166|4A,2017-09-22,1,1,2,0,1,1.0,2017092100708001,1,1,1,1,-1,timing_unique,9750,0.003076923076923077,325.0,UNREVIEWED,UNREVIEWED,,
1011200061,1011200061|7F,2019-09-16,1,1,2,0,1,1.0,2019091001220001,1,1,1,1,-1,timing_unique,9750,0.003076923076923077,325.0,UNREVIEWED,UNREVIEWED,,
4001400016,4001400016|B25,2018-02-13,1,1,1,0,1,1.0,2018020900641001,1,1,1,1,1,timing_unique,9750,0.003076923076923077,325.0,UNREVIEWED,UNREVIEWED,,
1012030037,1012030037|2C,2025-11-21,1,1,1,0,1,1.0,2025120200072001,1,1,1,1,1,timing_unique,9750,0.003076923076923077,325.0,UNREVIEWED,UNREVIEWED,,
1015800006,1015800006|4B,2024-09-05,1,2,1,1,1,1.0,2024090600334001,1,-1,1,1,1,timing_unique,9750,0.003076923076923077,325.0,UNREVIEWED,UNREVIEWED,,
4084900002,4084900002|18C12,2024-04-12,1,1,1,0,1,1.0,2024051000406002,1,1,0,1,1,timing_unique,9750,0.003076923076923077,325.0,UNREVIEWED,UNREVIEWED,,
