name,role,specific_institution_rule,broad_rule,pair_endpoint_occurrences,validation_status
GSR MORTGAGE LOAN TRUST 2006-9F,seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
U.S. BANK NATIONAL ASSOCIATION NOT IN ITS INDIVIDU,buyer,True,True,1,name-rule audit only; foreclosure/REO not legally validated
"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",seller,True,True,1,name-rule audit only; foreclosure/REO not legally validated
NATIONSTAR HECM ACQUISITION TRUST 2018-1,buyer,True,False,1,name-rule audit only; foreclosure/REO not legally validated
"U.S. BANK NATIONAL ASSOCIATION, AS TRUSTEE FOR CIT",buyer,True,True,1,name-rule audit only; foreclosure/REO not legally validated
A/K/A FEDERAL NATIONAL MORTGAGE ASSN,seller,True,True,1,name-rule audit only; foreclosure/REO not legally validated
U.S. BANK NATIONAL ASSOCIATION NOT IN ITS INDIVIDU,seller,True,True,1,name-rule audit only; foreclosure/REO not legally validated
"U.S. BANK TRUST, N.A., AS TRUSTEE FOR LSRMF MH MAS",buyer,True,True,1,name-rule audit only; foreclosure/REO not legally validated
J.P. MORGAN ALTERNATIVE LOAN TRUST 2006-S4,seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
"U.S. BANK NATIONAL ASSOCIATION, AS TRUSTEE FOR RES",buyer,True,True,1,name-rule audit only; foreclosure/REO not legally validated
"U.S. BANK TRUST, N.A. AS TRUSTEE FOR LSF9 MASTER",buyer,True,True,1,name-rule audit only; foreclosure/REO not legally validated
"ORANGE BANK & TRUST, AS TRUSTEE",buyer,False,True,1,name-rule audit only; foreclosure/REO not legally validated
"WILMINGTON SAVINGS FUND SOCIETY, FSB, ET AL",buyer,False,True,1,name-rule audit only; foreclosure/REO not legally validated
FOR J.P. MORTGAGE ACQUISITION TRUST 2007-CH5,seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
"DITECH FINANCIAL, LLC",seller,True,False,1,name-rule audit only; foreclosure/REO not legally validated
DITECH FINANCIAL LLC,buyer,True,False,1,name-rule audit only; foreclosure/REO not legally validated
"STANWICH MORTGAGE LOAN TRUST, SERIES 2014-3",seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
MORGAN MORTGAGE ACQUISITION CORP. 2006-FRE2 ASSET,seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
"U.S. BANK N.A., AS TRUSTEE, ON BEHALF OF THE J.P.",seller,True,True,1,name-rule audit only; foreclosure/REO not legally validated
"U.S. BANK N.A., AS TRUSTEE, ON BEHALF OF THE J.P.",buyer,True,True,1,name-rule audit only; foreclosure/REO not legally validated
"WILMINGTON SAVINGS FUND SOCIETY, FSB, NOT IN ITS I",buyer,False,True,1,name-rule audit only; foreclosure/REO not legally validated
FANNIE MAE A/K/A FEDERAL NATIONAL MORTGAGE ASSOC,seller,True,True,1,name-rule audit only; foreclosure/REO not legally validated
ARVEST BANK AS SUCCESSOR BY MERGER TO,seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
"ARVEST CENTRAL MORTGAGE COMPANY, SUCCESSOR IN",seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
INTEREST TO CENTRAL MORTGAGE COMPANY,seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
"U.S. BANK TRUST, N.A., AS TRUSTEE FOR LSF10 MASTER",seller,True,True,1,name-rule audit only; foreclosure/REO not legally validated
WILMINGTON SAVINGS FUND SOCIETY,seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",buyer,True,True,1,name-rule audit only; foreclosure/REO not legally validated
HSBC BANK USA,buyer,True,True,1,name-rule audit only; foreclosure/REO not legally validated
"HSBC BANK USA, N.A., AS INDENTURE TRUSTEE FOR THE",seller,True,True,1,name-rule audit only; foreclosure/REO not legally validated
FANNIE MAE AKA FEDERAL NATIONAL MORTGAGE ASSOCIATI,buyer,True,True,1,name-rule audit only; foreclosure/REO not legally validated
"THE BANK OF NEW YORK TRUST COMPANY, NA",seller,True,True,1,name-rule audit only; foreclosure/REO not legally validated
VALLEY NATIONAL BANK,seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
LASALLE BANK NA,seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
CASCADE FUNDING MORTGAGE TRUST HB10,seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
NATIONSTAR REO SUB 1B LLC,buyer,True,False,1,name-rule audit only; foreclosure/REO not legally validated
"JPMORGAN CHASE BANK, N.A.",seller,True,True,1,name-rule audit only; foreclosure/REO not legally validated
"WAMU MORTGAGE PASS-THROUGH CERTIFICATES, SERIES 20",seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
"BANK OF AMERICA, NA",seller,True,True,1,name-rule audit only; foreclosure/REO not legally validated
U.S. BANK NA,seller,True,True,1,name-rule audit only; foreclosure/REO not legally validated
RIGHTEOUS MEN SERVICING EVERY HOUSEHOLD INC.,buyer,False,True,1,name-rule audit only; foreclosure/REO not legally validated
"WILMINGTON SAVINGS FUND SOCIETY, FSB, OWNER TTEE",seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
CITIGROUP MORTGAGE LOAN TRUST INC,buyer,False,True,1,name-rule audit only; foreclosure/REO not legally validated
FIDELIS BRIDGE LOAN VENTURE V REO LLC,seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
CARRINGTON MORTGAGE LOAN TRUST SERIES 2005-FRE1,seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
"U.S. BANK NATIONAL ASSOCIATION, AS TRUSTEE FOR",seller,True,True,1,name-rule audit only; foreclosure/REO not legally validated
"WILMINGTON TRUST, NATIONAL ASSOCIATION, NOT IN",buyer,False,True,1,name-rule audit only; foreclosure/REO not legally validated
WELL FARGO BANK NA,seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
"WILMINGTON SAVINGS FUND SOCIETY,FSB",seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
PNC BANK NATIONAL ASSOCIATION,buyer,True,True,1,name-rule audit only; foreclosure/REO not legally validated
WELLS FARGO BANK NATIONAL ASSOCIATION,buyer,True,True,1,name-rule audit only; foreclosure/REO not legally validated
U.S. BANK TRUST,buyer,True,True,1,name-rule audit only; foreclosure/REO not legally validated
MIDFIRST BANK,buyer,False,True,1,name-rule audit only; foreclosure/REO not legally validated
"U.S. BANK TRUST NATIONAL ASSOCIATION, NOT IN ITS I",buyer,True,True,1,name-rule audit only; foreclosure/REO not legally validated
"MORGAN STANLEY MORTGAGE LOAN TRUST 2007-3XS, U.S.",buyer,False,True,1,name-rule audit only; foreclosure/REO not legally validated
WELLS FARGO BANK NATIONAL ASSOCIATION AS TRUSTEE,buyer,True,True,1,name-rule audit only; foreclosure/REO not legally validated
